airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
AYMH,7185,98,ASP,12,-5.82376003265381,144.291000366211,5363,121,,30,-5.83398008346558,144.307998657227,5363,301,
AYNZ,7999,148,ASP,9,-6.56887,146.714996,239,95,,27,-6.57078,146.737,216,275,
AYPY,9022,148,ASP,14L,-9.43087005615234,147.214004516602,103,148.4,,32R,-9.45209980010986,147.227005004883,128,328.4,
BGSF,9219,197,ASP,9,67.0055999755859,-50.7430992126465,100,61.6,,27,67.0176010131836,-50.6864013671875,165,241.6,
BGTL,9997,150,ASP,08T,76.530006,-68.761505,167,85,,26T,76.532402,-68.644829,251,265,
BIAR,7874,148,ASP,1,65.6500015258789,-18.0706996917725,7,355,,19,65.6672973632813,-18.0739994049072,5,175,
BIKF,10020,197,ASP,1,63.9645,-22.605499,135,14,,19,63.991901,-22.6054,161,194,
BIKF,10056,197,ASP,10,63.985001,-22.655001,109,104,43,28,63.985001,-22.5924,168,284,43
BKPR,9974,148,ASP,17,42.585334777832,21.0345993041992,1789,176,,35,42.5580368041992,21.03737449646,1786,356,
CYBG,10000,150,CON,11,48.3328018188477,-71.0158004760742,519,90.6,,29,48.3325004577637,-70.9749984741211,511,270.6,
CYCH,10006,150,ASP,9,47.005298614502,-65.4604034423828,108,72,,27,47.0102996826172,-65.4378967285156,85,252,
CYDF,8005,150,ASP,7,49.2052993774414,-57.4006996154785,50,47.8,,25,49.2164001464844,-57.3820991516113,72,227.8,
CYEG,10200,200,ASP,12,53.3064002990723,-113.595001220703,2325,135.1,,30,53.2867012023926,-113.561996459961,2372,315.1,
CYEG,11000,200,ASP,2,53.3088989257813,-113.596000671387,2322,33.9,,20,53.3342018127441,-113.568000793457,2337,213.9,
